"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"1",0,0,0,0,0,0,0,0,0
"2",26,5,4,5,0.0279674086816966,0.0278562158672698,0.0267111281472412,0.0510763829333792,0.0510763801042489
"3",26,5,4,10,0.0278933714599196,0.0510754060380764,0.051076368427664,0.0267133717234368,0.0280167570003178
"4",26,5,4,30,0.026082484258872,0.0258074636494376,0.0264441511998244,0.0271107583586315,0.0256649623859758
"5",26,5,4,50,0.0258152967024004,0.027063552791824,0.0294370483875516,0.0264464180335548,0.0253879523106703
"6",26,5,4,70,0.026800240535249,0.0273315940349603,0.0279077435242185,0.0274915546121322,0.0271264525747437
"7",26,5,4,90,0.0259242938363879,0.0268045788119385,0.0268319944416226,0.0275435718360887,0.0267441837582285
"8",19,5,3,5,0.0437534449740973,0.0437526147635097,0.0176088571402286,0.0437527040525462,0.0194697891603569
"9",19,5,3,10,0.0189194623904703,0.0176097301415695,0.0437526689706599,0.0176083960699687,0.0176057144419682
"10",19,5,3,30,0.0181071484351259,0.0178768085862785,0.0177080046277862,0.0184315755222265,0.0180900663223909
"11",19,5,3,50,0.0191914073169477,0.0176280295997838,0.0183208018682609,0.0175362090024473,0.0191688176762898
"12",19,5,3,70,0.0182248211452238,0.0182604561321604,0.0177006622727302,0.0180781024045185,0.0183547747479512
"13",19,5,3,90,0.0186430743469735,0.018668602057589,0.0183881798906489,0.0183187814403363,0.0180225825469351
"14",47,5,7,5,0.014789899555221,0.0146217939646908,0.0296366925110364,0.0150542534152214,0.0146969034083882
"15",47,5,7,10,0.0146687146924922,0.0149654805225233,0.0147783948420231,0.0137470257808267,0.0147270327882822
"16",47,5,7,30,0.0157166382022959,0.0153764296232558,0.0138684109944724,0.0138530098833566,0.0148466866883687
"17",47,5,7,50,0.0139611250950212,0.0170896206598841,0.0141465700807984,0.0148564728044136,0.0144121052524878
"18",47,5,7,70,0.0140873278369801,0.0149475790814099,0.0137476842100521,0.0150162206620939,0.0151338210190068
"19",47,5,7,90,0.0152789659410085,0.01563895935938,0.0151799067686887,0.0155744750906492,0.0135982645073654
"20",39,4,6,5,0.0127614437681526,0.0333599266756134,0.0136539219060869,0.0129426244554411,0.0134271433247297
"21",39,4,6,10,0.0126339482209565,0.0333599067154224,0.012901446224058,0.0127546368574752,0.012756597079564
"22",39,4,6,30,0.0124134652950789,0.0129359527447558,0.0127972087428822,0.0130354807681832,0.012634729975597
"23",39,4,6,50,0.0131407847883241,0.0127401786436275,0.0131288003667591,0.0127713890113364,0.012803540394444
"24",39,4,6,70,0.0125194434840099,0.0131985348061449,0.0127303865441259,0.0126552670321895,0.0134146582158386
"25",39,4,6,90,0.0130357567501784,0.0133406123615894,0.0126181295669489,0.0127446996204139,0.0127207212184785
"26",45,3,7,5,0.0119642239610961,0.0123035002848805,0.0119458633147036,0.0119471437245757,0.0359466757682415
"27",45,3,7,10,0.0116440898883803,0.0114910538949165,0.0116319085850286,0.0117385811584688,0.0123360310377658
"28",45,3,7,30,0.0118041797796669,0.0114530103858042,0.0118584574253684,0.0115800921654525,0.0117379606519651
"29",45,3,7,50,0.0117275270823099,0.011880174325083,0.0118572216328421,0.0116652004817007,0.0117860570483283
"30",45,3,7,70,0.0119080855716528,0.012312866166027,0.0119817101709305,0.0119004964044389,0.01187775955882
"31",45,3,7,90,0.0121565688142864,0.0119701737036617,0.0116599811838049,0.0118171213649292,0.0120336737099606
"32",9,2,2,5,0.0380271076436119,0.028225635548287,0.03802722373147,0.0380257609435865,0.0380272098828007
"33",9,2,2,10,0.0272268127028418,0.0280958137348988,0.0281253496166325,0.0280748894314096,0.038027095342261
"34",9,2,2,30,0.0279262930307457,0.0276811014521141,0.0276808958843297,0.0277988790142651,0.0280002376372866
"35",9,2,2,50,0.0269086687005087,0.0283859448551414,0.0274363476190056,0.0269192298116759,0.0277245102979848
"36",9,2,2,70,0.0272490221950495,0.0269873214738663,0.026810676878868,0.0275410230686495,0.0269541812645029
"37",9,2,2,90,0.0277767581748286,0.0288408469679279,0.0279661720551126,0.0276984794158401,0.0266261828735085
"38",31,3,5,5,0.0321355988859619,0.0201965723499983,0.0201743392373843,0.0321355101002376,0.0191822591273409
"39",31,3,5,10,0.0197196372881749,0.0200494626463192,0.019185523326316,0.0198256324293707,0.0191816651651321
"40",31,3,5,30,0.0196184703154354,0.0200512666478785,0.0198049767035683,0.0201315121994165,0.0200042956276867
"41",31,3,5,50,0.0201366699331962,0.0201885040951313,0.021083556369899,0.0200781504809467,0.0201854575841382
"42",31,3,5,70,0.0200508956080114,0.0189619493773389,0.020300613115202,0.0200272920337499,0.0205095839635725
"43",31,3,5,90,0.0198937853630281,0.0202187393514808,0.0197610578661194,0.0202331888691686,0.019881736974709
"44",14,7,2,5,0.0752035673176598,0.0722625139647156,0.137516439520774,0.0651165532333724,0.0595336865444989
"45",14,7,2,10,0.0737773808201809,0.0737675431528401,0.07522591093475,0.0735818994416062,0.0721090560394616
"46",14,7,2,30,0.0808983724336942,0.070549368888565,0.137515696067179,0.0773220671662742,0.0868932343681494
"47",14,7,2,50,0.0805366711634061,0.0822611921546833,0.0838869251568314,0.0741367527673364,0.0748488347945544
"48",14,7,2,70,0.0759043131455152,0.0785543141378086,0.0779490765148374,0.080783292318111,0.0738225681961616
"49",14,7,2,90,0.0831667191535216,0.0750667516519455,0.0705665549841592,0.0741418166868878,0.0821281126985779
"50",18,4,3,5,0.0428514415045121,0.0285550661995057,0.0428504433352901,0.0285586935165049,0.0285591430146463
"51",18,4,3,10,0.0274276746291574,0.0428546393402535,0.0287913911695598,0.0428593717426599,0.0428546430033786
"52",18,4,3,30,0.0279898302210267,0.0292048387832447,0.0286245434233349,0.0285822259758792,0.0284091944760798
"53",18,4,3,50,0.0276444833463309,0.0286218025812572,0.0283426038550679,0.0281059478491724,0.0268583365383356
"54",18,4,3,70,0.0287401630750386,0.0288150098821631,0.0274724295998147,0.0285341565694847,0.0284244057248292
"55",18,4,3,90,0.0290767886840916,0.0277444150761957,0.0283834533232537,0.028934848905798,0.0277645606298404
"56",30,2,5,5,0.0336008361277788,0.0336008361277788,0.0221645244117543,0.0222810180673215,0.0336007846009705
"57",30,2,5,10,0.0223041971376391,0.0221385199951466,0.0220319193504288,0.022276379600272,0.0222479278387987
"58",30,2,5,30,0.021874898266721,0.0222255427863777,0.0229045787907192,0.022713238254001,0.0218624312352137
"59",30,2,5,50,0.0227728453664296,0.0218639515059496,0.0231114127559855,0.0221914337769537,0.0218998602870896
"60",30,2,5,70,0.0222664207081414,0.0226508271872121,0.0225754771984056,0.0223315594294082,0.0335803131806214
"61",30,2,5,90,0.0219124252363049,0.0226329718744601,0.022455093080573,0.022251516452237,0.0232447603695734
"62",23,2,4,5,0.0249865008759607,0.0407117999656833,0.0407124265056076,0.024572573502441,0.0249118892459044
"63",23,2,4,10,0.0252718189171014,0.0258023274128165,0.0255214279589812,0.0250728951515136,0.040711337441932
"64",23,2,4,30,0.025478775585793,0.0251655580507083,0.0252866895239275,0.0254289931429793,0.0255482422903114
"65",23,2,4,50,0.0256628674028491,0.0255763904809181,0.0248254059163518,0.025242181390784,0.0254496385463678
"66",23,2,4,70,0.0254129491069572,0.025366828839221,0.0260126012437072,0.0251824132132154,0.0249158191911661
"67",23,2,4,90,0.025493613816528,0.0246090636895096,0.0254828789577148,0.0255642326519837,0.0253329468897908
"68",34,6,5,5,0.02310196928166,0.022750309978963,0.039769919851785,0.0232634133245174,0.023478735659759
"69",34,6,5,10,0.0226125098397127,0.0397744227174097,0.0397727754684665,0.0228061482840436,0.039772882540402
"70",34,6,5,30,0.0226680327881985,0.0229224058602155,0.0221378480440287,0.0224115445148621,0.0218453809064394
"71",34,6,5,50,0.0229407565169468,0.0220194843575522,0.0227015085388073,0.0224156718173106,0.0224812870722695
"72",34,6,5,70,0.0228279720081326,0.0222640429243713,0.0227517741259817,0.0223957117172054,0.0225038943643461
"73",34,6,5,90,0.0221087122457055,0.0222900887084248,0.022261716314883,0.0227564142826618,0.0229189540249748
"74",32,4,5,5,0.0370659763962573,0.0370655090406998,0.0194012295239715,0.0195887332779359,0.0195890039240625
"75",32,4,5,10,0.0186314783444171,0.018698033834753,0.0370660288070803,0.0188818790454815,0.0195894230871856
"76",32,4,5,30,0.0186481349020347,0.0187959602845963,0.0191442028104711,0.0186716748712885,0.0203284637332948
"77",32,4,5,50,0.0190949491143693,0.0187530304025167,0.0180188475948176,0.019236847136692,0.0188830390869952
"78",32,4,5,70,0.0198946679840036,0.0186901136771428,0.0185774699018893,0.0191143446112582,0.0186622292826105
"79",32,4,5,90,0.0189185541306055,0.0183446609197053,0.0185164411375152,0.0188701771890452,0.0191312571530901
"80",33,5,5,5,0.0143439058854492,0.0147631600188535,0.0331889215873133,0.0148717361935357,0.0148718165094757
"81",33,5,5,10,0.0148716134695972,0.0145575076847756,0.0140774864455957,0.01460266369692,0.014523694612348
"82",33,5,5,30,0.0150266950356931,0.0154024826707433,0.0146837895110051,0.0147853476436399,0.0147334734268751
"83",33,5,5,50,0.0146118972706787,0.0145941327623329,0.0151732089768182,0.0146647822536142,0.0149341465136901
"84",33,5,5,70,0.0147311821554715,0.0142047292249765,0.0147079068123603,0.0147393739453296,0.0148449013962571
"85",33,5,5,90,0.0146685170238035,0.0149357302974171,0.0153379095049142,0.0151637315177647,0.01451712015813
"86",37,2,6,5,0.0189218598150175,0.0194469274124878,0.0193957855078666,0.0456734091475542,0.0456734520555859
"87",37,2,6,10,0.0193844688238637,0.0197591409130903,0.0195028702520681,0.0197717247809115,0.0197110250806274
"88",37,2,6,30,0.0193087364139855,0.0201143282561483,0.0198112425767426,0.0199522563401355,0.019731935417902
"89",37,2,6,50,0.0193433110040455,0.0197895134215493,0.0198299946296845,0.0200777925892145,0.019986651509732
"90",37,2,6,70,0.0200561039730364,0.0202093774730154,0.0199752838381719,0.0195851992223994,0.0195674826643214
"91",37,2,6,90,0.0205640129083205,0.0196492555965538,0.0200618490010682,0.0196766117237776,0.0198875077392403
"92",17,3,3,5,0.0270479637179565,0.0417035932856235,0.0268049133667167,0.0269696789072624,0.0417035906921985
"93",17,3,3,10,0.0272074750971332,0.0264605346297623,0.02692775254146,0.0417011278173283,0.0417035939796583
"94",17,3,3,30,0.0267570375779556,0.0267521257309591,0.0254298284088322,0.0263734419175915,0.0268031729229114
"95",17,3,3,50,0.0261342292922191,0.0272515972060651,0.0271092722308338,0.0265810864763966,0.0262345372689715
"96",17,3,3,70,0.026524308799825,0.0264070729650452,0.0265196978137835,0.0269417232969851,0.0262170269751493
"97",17,3,3,90,0.0261640590683833,0.0258723806531491,0.0262876866521568,0.0266396949792684,0.0258185118859616
"98",5,5,1,5,0.0457710160530475,0.046775486326966,0.0459640677385859,0.0680506082828704,0.0470751635211356
"99",5,5,1,10,0.0463602182780013,0.0680506135092545,0.0457707592759942,0.0446518873332966,0.0454660119060799
"100",5,5,1,30,0.0457712647696395,0.0458327294388561,0.0450226549216329,0.0434609441940633,0.0451322274457075
"101",5,5,1,50,0.045120857646,0.0439289993303933,0.0441497773039642,0.0438453641995734,0.0456345597668573
"102",5,5,1,70,0.0450047137131319,0.0444456197017383,0.0445162511116976,0.0457620333306632,0.0460346787667624
"103",5,5,1,90,0.0443437491491667,0.0459057777962628,0.042913254202654,0.0457404555548027,0.0452814716974805
"104",46,4,7,5,0.016859521000146,0.0326827591651882,0.0164804525500297,0.0326816241867122,0.016384300641614
"105",46,4,7,10,0.0148078411254665,0.0326816759965618,0.0161073095422021,0.016502534512098,0.014609120796163
"106",46,4,7,30,0.0148827445897063,0.0144721851802796,0.0140817904322176,0.0152450368964619,0.0147532976817061
"107",46,4,7,50,0.0143567350107444,0.0139409735843186,0.0143068405022909,0.0153473844470922,0.0152750179404659
"108",46,4,7,70,0.0132618870669775,0.0141491801211879,0.0145738283569921,0.0145666875563427,0.0144285050644278
"109",46,4,7,90,0.014284305283427,0.0135908903467308,0.0142600953341,0.015971447367238,0.01475928017036
"110",41,6,6,5,0.0149878273695423,0.0238397266650197,0.023826438855748,0.0164052621982373,0.0238378067400712
"111",41,6,6,10,0.0147973280090354,0.0142313919645089,0.013533634783898,0.0134149268178479,0.0146695340066112
"112",41,6,6,30,0.0136721338543926,0.0142824418144975,0.0144293137452345,0.0148391044159071,0.0140629473832285
"113",41,6,6,50,0.0148354225297275,0.0147728804867709,0.0142065823484651,0.0141930706743139,0.0145349958512262
